whichgroup,round,rematching,variability_contributions
3,4,randomly,3.4641016151377544
3,5,assortatively,0.5773502691896257
3,5,not,1.5275252316519468
3,5,randomly,1.5275252316519468
3,6,assortatively,0.5
3,6,not,2
3,6,randomly,2.886751345948129
3,7,assortatively,0.5773502691896257
3,7,not,3.3819373146171707
3,7,randomly,4.041451884327381
3,8,assortatively,0.5773502691896257
3,8,not,1.4433756729740645
3,8,randomly,1
3,9,assortatively,0.5773502691896257
3,9,not,1.2583057392117916
3,9,randomly,2.5
3,10,assortatively,1.1547005383792515
3,10,not,2.4537386440559095
3,10,randomly,2.516611478423583
3,11,assortatively,2.0816659994661326
3,11,not,2.8431203515386634
3,11,randomly,4.041451884327381
3,12,assortatively,1
3,12,not,3.0550504633038935
3,12,randomly,3.2145502536643185
3,13,assortatively,0.5773502691896257
3,13,not,3.307189138830738
3,13,randomly,5.131601439446884
3,14,assortatively,1
3,14,not,1.8027756377319946
3,14,randomly,4.932882862316247
3,15,assortatively,0.5773502691896257
3,15,not,1.5275252316519468
3,15,randomly,2.0816659994661326
3,16,assortatively,2.0816659994661326
3,16,not,0.4330127018922193
3,16,randomly,3.7859388972001824
3,17,assortatively,1.5275252316519468
3,17,not,0.7216878364870323
3,17,randomly,4.163331998932265
3,18,assortatively,1.1547005383792515
3,18,not,4.4464405239847
3,18,randomly,4.932882862316247
3,19,assortatively,0.5773502691896257
3,19,not,3.875671984744495
3,19,randomly,4.618802153517006
3,20,assortatively,1.5275252316519468
3,20,not,1.0103629710818451
3,20,randomly,1.1547005383792515
4,2,assortatively,0
4,2,not,3.7859388972001824
4,2,randomly,3
4,3,assortatively,1.7320508075688772
4,3,not,0.5773502691896257
4,3,randomly,1.1547005383792515
4,4,assortatively,1.7320508075688772
4,4,not,1.1547005383792515
4,4,randomly,2.0816659994661326
4,5,assortatively,0.7637626158259734
4,5,not,1
4,5,randomly,3.2145502536643185
4,6,assortatively,1
4,6,not,1.1547005383792515
4,6,randomly,3.2145502536643185
4,7,assortatively,2.0816659994661326
4,7,not,2.516611478423583
4,7,randomly,2
4,8,assortatively,0.5773502691896257
4,8,not,2.0816659994661326
4,8,randomly,2.309401076758503
4,9,assortatively,1.7320508075688772
4,9,not,0.7071067811865476
4,9,randomly,1.7320508075688772
4,10,assortatively,0.5773502691896257
4,10,not,0
4,10,randomly,1.1547005383792515
4,11,assortatively,0.5773502691896257
4,11,not,5.656854249492381
4,11,randomly,2.8284271247461903
4,12,assortatively,1.5275252316519468
4,12,not,0.7071067811865476
4,12,randomly,4.041451884327381
4,13,assortatively,0.5773502691896257
4,13,not,0.7071067811865476
4,13,randomly,3.7527767497325675
4,14,assortatively,3.0550504633038935
4,14,not,0.7071067811865476
4,14,randomly,1.1547005383792515
4,15,assortatively,1
4,15,not,0
4,15,randomly,5.507570547286102
4,16,assortatively,1.1547005383792515
4,16,not,0.7071067811865476
4,16,randomly,4.041451884327381
